the_geom,si_si_s,field_1,pol_stn,totarea,nm_pol,murder,rape,gangrap,robbery,theft,asltmds,sxlhrsm,distrct,inspsnc,insp__m,in__w_f,cartodb_id,si_si_m,si_si_f,ai_si_s,ai_si_m,ai_si_f,hc_snc,hc_wrkm,hc_wrkf,cnst_sn,cnst_wm,cnst_wf,tl_shrt,totcrm,tsnc,twrk,long,lat
0101000020E6100000C5AC174339495340F19D98F562B03C40,8,158,POLICE STATION-SUBHASH PLACE,885072.497978,SUBHASH PLACE,10,15,1,54,590,5,26,Outer,3,3,0,159,8,1,14,9,0,54,30,1,92,92,14,15,701,197,158,77.14412,28.68901
0101000020E61000008C84B69C4B4D5340DD76A1B94EAB3C40,10,159,POLICE STATION-SABZI MANDI,2975208.71941,SUBZIMANDI,7,14,2,61,644,9,17,Outer,3,1,0,160,7,1,17,8,0,40,30,2,100,100,11,16,754,187,160,77.20774,28.66917
0101000020E6100000137EA99F374D53402827DA5548B13C40,6,160,POLICE STATION-MAURICE NAGAR,6149745.10424,MAURICE NAGAR,2,31,0,31,469,38,10,South,3,2,0,161,5,3,3,4,5,28,23,1,65,65,23,34,581,115,131,77.20652,28.69251
0101000020E61000005DBA490C024D5340EC34D25279A33C40,11,162,POLICE STATION-MANDIR MARG,9889059.63099,MANDIR MARG,5,24,4,50,817,68,15,South,3,3,0,163,15,1,8,6,1,24,22,0,75,75,12,11,983,136,135,77.20325,28.63857
0101000020E61000005DF92CCF834D53408C2D043928993C40,11,163,POLICE STATION-TUGHLAK ROAD,6857849.29349,TUGLAK ROAD,3,15,0,67,595,17,8,Outer,3,2,0,164,14,1,29,16,2,40,20,1,157,157,14,99,705,248,227,77.21117,28.59827
0101000020E61000002C82FFAD644F5340B610E4A084913C40,9,168,POLICE STATION-LAJPAT NAGAR,1505936.69173,LAJPAT NAGAR,1,7,0,15,160,8,8,South,3,3,0,169,8,2,12,12,0,50,35,1,76,76,12,16,199,158,149,77.24052,28.56843
0101000020E610000052D50451F751534050C24CDBBFAA3C40,7,169,POLICE STATION-KRISHNA NAGAR,1904048.82379,KRISHNA NAGAR,7,13,2,14,133,25,4,South West,3,1,0,170,9,1,10,8,0,39,21,2,85,85,11,23,198,148,138,77.28072,28.66699
0101000020E6100000F41ABB44F54E5340DFE00B93A99A3C40,9,170,POLICE STATION-PRASHANT VIHAR,6857849.29349,PRASHANT VIHAR,7,8,0,41,457,39,14,East,2,3,0,171,6,2,6,5,0,65,28,2,148,148,9,64,566,244,203,77.23372,28.60415
0101000020E6100000E36BCF2C09545340382861A6EDA73C40,7,171,POLICE STATION-ANAND VIHAR,4558969.69225,ANANDVIHAR,10,14,0,99,457,24,15,North East,2,2,0,172,10,2,5,2,0,54,21,0,144,144,15,93,619,227,196,77.31306,28.65597
0101000020E6100000A6E8482EFF49534099F5622827C23C40,6,172,POLICE STATION-SWAROOP NAGAR,12088114.5743,SWARUP NAGAR,4,23,1,52,443,31,6,Outer,3,3,0,173,5,1,9,4,0,73,26,1,108,108,9,77,560,205,157,77.1562,28.75841
